model,iteration,RMSE,bagging_fraction,bagging_freq,feature_fraction,learning_rate,max_depth,min_child_samples,min_child_weight,min_split_gain,num_leaves,subsample
LGBM,28,7173025.6518125655,0.7284010806595125,1.0,0.2040413597080622,0.004090759746765796,4.0,112.0,0.01048699573881412,0.06680843641154231,88.0,0.8874674978050388
LGBM,19,7173147.415390247,0.7802788931305921,4.0,0.2194610797030799,0.005229998635473641,6.0,176.0,0.07697508258892058,0.03178065532161359,36.0,0.6111104157873603
LGBM,1,7174382.844418252,0.9462203836572072,3.0,0.8175218516102598,0.0032537274699059116,8.0,184.0,0.07702039816160473,0.036657757428363406,78.0,0.6075541155911671
LGBM,15,7174745.315615305,0.7624793183361683,3.0,0.4548542792285532,0.003102819011984321,5.0,190.0,0.01653395483802654,0.08433066588729034,50.0,0.6678084642674138
LGBM,97,7177065.436627285,0.7068613041275603,1.0,0.3326388705162789,0.006521442488994569,5.0,132.0,0.02737562918717523,0.050463810750457784,118.0,0.6867077674807015
LGBM,45,7179030.937942832,0.719387478831307,3.0,0.3654339671993113,0.0021398596747348713,7.0,104.0,0.09766683666320583,0.09478811898662404,28.0,0.9110002205534001
LGBM,23,7181798.545618601,0.8908170321410901,1.0,0.2718291651051261,0.004134484000497186,8.0,94.0,0.04229703702614611,0.09692174324643973,126.0,0.988042811436649
LGBM,63,7182038.020426011,0.9881658513262872,3.0,0.6534786456169065,0.001959072486638997,9.0,114.0,0.06562953132580521,0.04034134311342495,52.0,0.9256763311955913
LGBM,52,7184226.703210682,0.7301187703164937,1.0,0.2496437461538422,0.008097821874493101,4.0,146.0,0.03137038757741326,0.07554676437132495,106.0,0.899097403758237
LGBM,38,7184391.725468044,0.754205161156284,5.0,0.8945075781801552,0.0022071383870383623,6.0,146.0,0.01037147209445977,0.05389678491013409,116.0,0.7716462706453375
LGBM,89,7184817.796490911,0.709433147281087,4.0,0.7694367268935123,0.003640797116132524,6.0,172.0,0.026132750418732503,0.07199001665086492,98.0,0.8964157807637639
LGBM,47,7185121.012652798,0.9257549760025571,2.0,0.6563461568990945,0.003135603848279173,6.0,198.0,0.021681463337979295,0.04249046284291111,102.0,0.8289645236452436
LGBM,2,7186020.396108712,0.9960957126666545,3.0,0.36371386884741935,0.009638661608524182,4.0,188.0,0.030788183862355427,0.07144301163740527,78.0,0.7232254108547775
